capital_marker,timezone,geo_lat,geo_lon,population,city_name
0.0,UTC+3,53.1960836,45.1689907,63579,Заречный
0.0,UTC+5,56.8102931,61.3380029,26803,Заречный
0.0,UTC+7,53.7063476,84.9315081,47035,Заринск
1.0,UTC+3,55.9738571,48.0170245,11945,Звенигово
0.0,UTC+3,55.7297089,36.8554029,16395,Звенигород
0.0,UTC+3,48.0435487,40.1265822,22416,Зверево
0.0,UTC+7,56.1131564,94.5888103,66018,Зеленогорск
1.0,UTC+2,54.9600185,20.4753652,13015,Зеленоградск
1.0,UTC+3,55.8466651,48.5010954,97651,Зеленодольск
1.0,UTC+3,44.4032668,43.8841877,35790,Зеленокумск
1.0,UTC+3,46.8495958,40.312837,26850,Зерноград
0.0,UTC+9,53.7340088,127.265787,25042,Зея
0.0,UTC+8,53.920693,102.0491772,32522,Зима
0.0,UTC+5,55.1714905,59.6725549,174985,Златоуст
1.0,UTC+3,52.4267015,31.7360399,5507,Злынка
1.0,UTC+7,51.1581094,82.1872547,10569,Змеиногорск
0.0,UTC+4,48.5866291,45.7368019,29357,Знаменск
1.0,UTC+3,56.1760868,34.5825515,6937,Зубцов
1.0,UTC+3,58.4032152,51.1331606,11198,Зуевка
0.0,UTC+3,59.3766119,28.2231659,9797,Ивангород
2.0,UTC+3,56.9993792,40.9728272,409277,Иваново
0.0,UTC+3,55.9741665,37.9207539,58594,Ивантеевка
0.0,UTC+5,60.6944496,60.4245069,17764,Ивдель
0.0,UTC+7,67.4666901,86.5812794,6183,Игарка
2.0,UTC+4,56.852738,53.2114896,628117,Ижевск
0.0,UTC+3,42.5650962,47.8710051,56301,Избербаш
1.0,UTC+3,45.3684296,41.708702,40546,Изобильный
1.0,UTC+7,56.2374037,96.067267,16108,Иланский
1.0,UTC+4,53.8549647,46.3533459,18547,Инза
0.0,UTC+3,55.7521699,48.7446846,96,Иннополис
1.0,UTC+3,53.8770022,44.3696566,8687,Инсар
0.0,UTC+3,66.0367316,60.1152961,32021,Инта
1.0,UTC+3,45.7181751,42.8970206,26055,Ипатово
0.0,UTC+5,57.6838362,63.057675,38352,Ирбит
2.0,UTC+8,52.2864036,104.2807466,587225,Иркутск
1.0,UTC+6,54.9096002,71.2816284,25905,Исилькуль
0.0,UTC+7,54.6267603,83.2951244,60072,Искитим
0.0,UTC+3,55.9062267,36.8601454,35106,Истра
1.0,UTC+5,56.1104858,69.4795776,69567,Ишим
1.0,UTC+5,53.4545764,56.0438751,66259,Ишимбай
2.0,UTC+3,56.6343662,47.8999706,248688,Йошкар-Ола
0.0,UTC+3,59.5037764,40.3441148,4797,Кадников
2.0,UTC+3,55.7943584,49.1114975,1216965,Казань
1.0,UTC+3,50.4242134,41.0162014,20046,Калач
1.0,UTC+3,48.6889024,43.5306303,26892,Калач-на-Дону
1.0,UTC+6,55.0598155,74.5653644,24000,Калачинск
2.0,UTC+2,54.7074702,20.5073241,431491,Калининград
1.0,UTC+4,51.4993591,44.4710435,16442,Калининск
0.0,UTC+7,53.5210919,87.2771636,21893,Калтан
2.0,UTC+3,54.5059848,36.2516245,325185,Калуга
1.0,UTC+3,57.2579478,37.7819693,13870,Калязин
1.0,UTC+4,56.2659916,54.193374,11028,Камбарка
1.0,UTC+3,53.1855463,44.0469717,39579,Каменка
0.0,UTC+3,60.950855,29.1308372,6761,Каменногорск
0.0,UTC+5,56.414962,61.9188674,174710,Каменск-Уральский
0.0,UTC+3,48.3205326,40.2689583,95306,Каменск-Шахтинский
1.0,UTC+7,53.7913974,81.3545053,41787,Камень-на-Оби
1.0,UTC+3,56.3490152,40.9955183,13113,Камешково
1.0,UTC+4,46.110579,48.07333,16291,Камызяк
0.0,UTC+3,50.0651529,45.3844202,119924,Камышин
0.0,UTC+5,56.8465034,62.7119766,26875,Камышлов
0.0,UTC+3,55.507,47.4918273,45608,Канаш
1.0,UTC+3,67.1567974,32.4143218,35659,Кандалакша
0.0,UTC+7,56.2051282,95.7051096,94230,Канск
0.0,UTC+3,56.3131822,38.7034257,14868,Карабаново
0.0,UTC+5,55.4852323,60.2358881,13151,Карабаш
0.0,UTC+3,43.3055248,44.9094582,31081,Карабулак
1.0,UTC+7,53.7343189,78.0422967,28929,Карасук
1.0,UTC+3,43.7732525,41.9143472,23848,Карачаевск
1.0,UTC+3,53.1296524,34.9888727,19715,Карачев
1.0,UTC+7,55.1945666,80.2829495,10620,Каргат
1.0,UTC+3,61.5009724,38.9636966,10148,Каргополь
0.0,UTC+5,59.7665925,60.0011703,29118,Карпинск
1.0,UTC+5,53.0536197,60.6478408,29136,Карталы
1.0,UTC+3,54.9373475,41.3913211,33494,Касимов
1.0,UTC+5,55.8868784,60.7421663,16998,Касли
0.0,UTC+3,42.8916007,47.6367066,103914,Каспийск
1.0,UTC+5,54.7521438,58.1983648,17640,Катав-Ивановск
1.0,UTC+5,56.290809,62.5800359,14017,Катайск
0.0,UTC+5,58.7051762,59.4839155,42563,Качканар
1.0,UTC+3,57.360194,37.6119436,16174,Кашин
0.0,UTC+3,54.853337,38.1904392,41880,Кашира
0.0,UTC+7,57.561869,79.5677821,2451,Кедровый
2.0,UTC+7,55.3910651,86.0467781,532884,Кемерово
0.0,UTC+3,64.9543539,34.5949263,13061,Кемь
0.0,UTC+3,45.3562627,36.4674513,147033,Керчь
0.0,UTC+5,59.0512783,57.6471028,20277,Кизел
0.0,UTC+3,43.203825,46.8729636,36187,Кизилюрт
0.0,UTC+3,43.8484083,46.7233699,49169,Кизляр
1.0,UTC+3,53.9698378,38.5380808,28493,Кимовск
0.0,UTC+3,56.8733213,37.3556605,49623,Кимры
1.0,UTC+3,59.3740435,28.6112444,48667,Кингисепп
0.0,UTC+4,53.2210298,50.6343776,34472,Кинель
0.0,UTC+3,57.4425463,42.168914,88113,Кинешма
1.0,UTC+3,53.9319555,37.9220351,25585,Киреевск
1.0,UTC+8,57.7756595,108.1109412,12652,Киренск
1.0,UTC+3,56.1486863,38.8635701,30044,Киржач
